"","CityTown","Nearby T21 Ratio","year"
"745","Great Barrington",0,2007
"746","Greenfield",0,2007
"747","Hadley",0,2007
"748","Hamilton",0.006,2007
"749","Hanover",0.005,2007
"750","Halifax",0.006,2007
"751","Hatfield",0,2007
"752","Holbrook",0.005,2007
"753","Holyoke",0,2007
"754","Hopedale",0.004,2007
"755","Hudson",0.004,2007
"756","Hull",0.005,2007
"757","Kingston",0.006,2007
"758","Lanesborough",0,2007
"759","Lawrence",0.006,2007
"760","Lee",0,2007
"761","Lenox",0,2007
"762","Leverett",0,2007
"763","Lexington",0.005,2007
"764","Lincoln",0.005,2007
"765","Lowell",0.005,2007
"766","Malden",0.005,2007
"767","Mansfield",0.005,2007
"768","Marblehead",0.006,2007
"769","Marion",0.009,2007
"770","Marlborough",0.004,2007
"771","Marshfield",0.006,2007
"772","Mashpee",0,2007
"773","Maynard",0.004,2007
"774","Medfield",0.004,2007
"775","Medford",0.005,2007
"776","Medway",0.004,2007
"777","Melrose",0.005,2007
"778","Mendon",0.005,2007
"779","Methuen",0.006,2007
"780","Middleton",0.006,2007
"781","Millis",0.004,2007
"782","Milford",0.004,2007
"783","Milton",0.005,2007
"784","Montague",0,2007
"785","Natick",0.004,2007
"786","Needham",0,2007
"787","Newton",0.005,2007
"788","Norfolk",0.005,2007
"789","North Adams",0,2007
"790","North Andover",0.006,2007
"791","North Attleboro",0.005,2007
"792","North Reading",0.005,2007
"793","Northampton",0,2007
"794","Northborough",0.004,2007
"795","Norwell",0.005,2007
"796","Norwood",0.005,2007
"797","Orleans",0,2007
"798","Peabody",0.006,2007
"799","Pittsfield",0,2007
"800","Plainville",0.005,2007
"801","Provincetown",0,2007
"802","Reading",0.005,2007
"803","Randolph",0.005,2007
"804","Rockport",0.008,2007
"805","Salem",0.006,2007
"806","Saugus",0.005,2007
"807","Scituate",0.005,2007
"808","Sharon",0.005,2007
"809","Shelburne",0,2007
"810","Sherborn",0.004,2007
"811","Somerville",0.005,2007
"812","South Hadley",0,2007
"813","Southampton",0,2007
"814","Southborough",0.004,2007
"815","Southwick",0,2007
"816","Stockbridge",0,2007
"817","Stoneham",0.005,2007
"818","Stoughton",0.005,2007
"819","Sunderland",0,2007
"820","Swampscott",0.005,2007
"821","Tewksbury",0.005,2007
"822","Topsfield",0.006,2007
"823","Townsend",0.005,2007
"824","Tyngsborough",0.005,2007
"825","Wakefield",0.005,2007
"826","Walpole",0.005,2007
"827","Waltham",0.005,2007
"828","Wareham",0.008,2007
"829","Watertown",0.005,2007
"830","Wayland",0.005,2007
"831","Wellesley",0.004,2007
"832","Westfield",0,2007
"833","Westford",0.005,2007
"834","Weston",0.005,2007
"835","Westwood",0.004,2007
"836","Whately",0,2007
"837","Whitman",0.005,2007
"838","Williamstown",0,2007
"839","Wilmington",0.005,2007
"840","Winchester",0.005,2007
"841","Worcester",0.004,2007
"842","Yarmouth",0,2007
"843","Abington",0.005,2007
"844","Acushnet",0.008,2007
"845","Agawam",0,2007
"846","Alford",0,2007
"847","Amesbury",0.009,2007
"848","Aquinnah",0,2007
"849","Ashburnham",0.005,2007
"850","Ashby",0.005,2007
"851","Ashfield",0,2007
"852","Athol",0,2007
"853","Auburn",0.004,2007
"854","Avon",0.005,2007
"855","Ayer",0.005,2007
"856","Barnstable",0,2007
"857","Barre",0.005,2007
"858","Becket",0,2007
"859","Bedford",0.005,2007
