"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"97","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,NA,NA,NA,NA,0
"98","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,NA,NA,NA,NA,0
"99","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,NA,NA,NA,NA,0
"100","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,NA,NA,NA,NA,0
"101","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,NA,NA,NA,NA,0
"102","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,NA,NA,NA,NA,0
"103","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,NA,NA,NA,NA,0
"104","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,NA,NA,NA,NA,0
"105","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2011,"25011","Massachusetts",8,11,7,6,10,6,11,6,12,9,5,3,14,6,7,8,8,10,6,NA,NA,NA,NA,0
"106","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2010,"25011","Massachusetts",9,9,6,6,7,6,11,6,7,10,4,2,11,7,7,7,5,8,4,NA,NA,NA,NA,0
"107","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2012,"25011","Massachusetts",9,10,8,6,7,5,11,6,10,10,6,3,14,6,10,9,6,9,6,NA,NA,NA,NA,0
"108","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2013,"25011","Massachusetts",11,10,6,6,7,4,11,4,10,10,6,3,12,6,7,9,6,7,8,NA,NA,NA,NA,0
"109","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2014,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,10,6,7,13,NA,NA,NA,NA,0
"110","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2015,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,10,7,7,12,NA,NA,NA,NA,0
"111","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2016,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,7,11,NA,NA,NA,NA,0
"112","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,2017,"25011","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,7,7,5,5,NA,NA,NA,NA,0
"113","Ashland","Town","Middlesex","Open town meeting","16593.0",1846,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,NA,NA,NA,0
